ssrn_id,status_on_author_page_2026_07_04,title,pdf,zenodo
5576850,visible,Beyond WEIRD Legal AI: Why Concept-Based Models Outperform Token-Based Approaches,papers/5576850-Beyond-WEIRD-Legal-AI-Why-Concept-Based-Models.pdf,10.5281/zenodo.20612854
5584450,visible,Beyond WEIRD Bias: Why Token-Based Legal AI Cannot Model Post-Colonial Compliance,papers/18576911-Beyond-WEIRD-Bias-Why-Token-Based-Legal-AI-Cannot-Model-Post-Colonial-Compliance-Dynam.pdf,10.5281/zenodo.18576911
5591832,visible,Normative Ambiguity as Memetic Niche Space,papers/5591832-Normative-Ambiguity-as-Memetic-Niche-Space-An.pdf,10.5281/zenodo.20612858
5593470,visible,Law as Extended Phenotype: Toward an Evolutionary Theory of Legal Systems,papers/5593470-Law-as-Extended-Phenotype-Toward-an.pdf,10.5281/zenodo.18567125
5599553,visible,The Extinction of the Nineteenth Amendment: A Memetic Analysis,papers/5599553-THE-EXTINCTION-OF-THE-NINETEENTH-AMENDMENT.pdf,10.5281/zenodo.20612860
5600750,visible,Beyond Iusmorphs: Advanced Evolutionary Models for Legal Compatibility,papers/5600750-Beyond-Iusmorphs-Advanced-Evolutionary-Models.pdf,10.5281/zenodo.20612864
5605730,visible,Beyond Iusmorphs: Environmental Compatibility and Institutional Selection,papers/5605730-Beyond-Iusmorphs-Environmental-Compatibility.pdf,10.5281/zenodo.20612872
5612010,visible,International Law as Extended Phenotype: Globalist and Sovereignist Memeplexes,papers/5612010-International-Law-as-Extended-Phenotype-Globalist.pdf,10.5281/zenodo.20612876
5624710,visible,Constitutional Lock-in and the Phenotypic Expression of Legal Resistance,papers/5624710-Constitutional-Lock-in-and-the-Phenotypic.pdf,10.5281/zenodo.20612883
5635152,visible,Argentina's Fiscal Lock-in: Tax Reform as Extended Phenotype,papers/5635152-Argentinas-Fiscal-Lock-in-Tax-Reform-as.pdf,10.5281/zenodo.18626683
5645070,visible,Climbing Mount Improbable: A Viable Path for Argentine Institutional Reform,papers/5645070-CLIMBING-MOUNT-IMPROBABLE-A-VIABLE-PATH.pdf,10.5281/zenodo.20612887
5660770,visible,Constitutional Paleontology: Tracing the Evolutionary History of Legal Doctrines,papers/5660770-CONSTITUTIONAL-PALEONTOLOGY-TRACING.pdf,10.5281/zenodo.20612890
5695662,visible,Before the Command Was Spoken: Law as Pre-Intentional Coordination,papers/5695662-Before-the-Command-Was-Spoken-Law-as.pdf,10.5281/zenodo.20612892
5696484,visible,The Grundnorm as Evolutionary Attractor,papers/5696484-The-Grundnorm-as-Evolutionary.pdf,10.5281/zenodo.20612900
5718922,visible,Cognitive Mechanisms of Constitutional Entrenchment,papers/5718922-COGNITIVE-MECHANISMS-OF-CONSTITUTIONAL.pdf,10.5281/zenodo.20612904
5728083,visible,The Golden Ratio Paradox: Why Optimal Institutional Design May Be Evolutionarily Unstable,papers/5728083-The-Golden-Ratio-Paradox-Why-Optimal-Institutional.pdf,10.5281/zenodo.20612906
5731627,visible,From Utopianism to Fossilization: The Evolutionary Pathology of Ideal Constitutions,papers/5731627-FROM-UTOPIANISM-TO-FOSSILIZATION-A.pdf,10.5281/zenodo.20612910
5737383,visible,Law as Extended Phenotype: Reframing Legal Theory Through Evolutionary Epistemology,papers/5737383-LAW-AS-EXTENDED-PHENOTYPE-REFRAMING.pdf,10.5281/zenodo.18626632
5741544,visible,If Machiavelli Had Known Darwin: Evolutionary Power and Institutional Design,papers/5741544-IF-MACHIAVELLI-HAD-KNOWN-DARWIN-EVOLUTIONARY.pdf,10.5281/zenodo.20612914
5748142,visible,Uruguay and the Fossilization Meme: Testing EPT Against a Positive Case,papers/5748142-Uruguay-and-the-Fossilization-Meme-Testing.pdf,10.5281/zenodo.20612916
5750242,visible,From Transaction Costs to Memetic Fitness: Formalizing North's Institutional Insights,papers/5750242-FROM-TRANSACTION-COSTS-TO-MEMETIC-FITNESS.pdf,10.5281/zenodo.18626473
5760142,visible,Beyond Stated Preferences: Tacit Consensus as Cultural Lock-in,papers/5760142-Beyond-Stated-Preferences-Tacit-Consensus-as-Cultu.pdf,10.5281/zenodo.20612923
5768423,missing_from_author_page,Epistemological Clergies: When Orthodoxy Becomes Institutional Selection Pressure,papers/5768423-EPISTEMOLOGICAL-CLERGIES-WHEN-ORTHODOXY.pdf,10.5281/zenodo.20612925
5776925,visible,"""General Welfare"" and ""Common Good"" as Evolutionary Attractors in Constitutional Law",papers/5776925-General-Welfare-and-Common-Good-as-Evolutionary.pdf,10.5281/zenodo.20612927
5881663,missing_from_author_page,The Dawkins-Hayek Convergence: Spontaneous Order as Extended Phenotype,papers/5881663-The-Dawkins-Hayek-Convergence-Spontaneous.pdf,10.5281/zenodo.18576674
5881702,missing_from_author_page,Against Multilevel Selection in Legal Evolution: A Defense and Restatement,papers/5881702-Against-Multilevel-Selection-in-Legal-Evolution.pdf,10.5281/zenodo.20612935
5882342,missing_from_author_page,Archaeological Scaffolding of Law: Institutional Layers and Memetic Stratigraphy,papers/5882342-ARCHAEOLOGICAL-SCAFFOLDING-OF-LAW.pdf,10.5281/zenodo.20612939
5886142,missing_from_author_page,Blind Breeders: The Extended Phenotype of Unintentional Institutional Design,papers/5886142-BLIND-BREEDERS-The-Extended-Phenotype-of.pdf,10.5281/zenodo.20612948
5891884,missing_from_author_page,Law as Extended Phenotype: A Game-Theoretic Synthesis,papers/5891884-Law-as-Extended-Phenotype-A-Game-Theoretic.pdf,10.5281/zenodo.20612950
5908462,missing_from_author_page,The Praxeological Foundations of Extended Phenotype Theory,papers/5908462-The-Praxeological-Foundations-of-Extended.pdf,10.5281/zenodo.20612952
5908662,missing_from_author_page,Legal Prices: The Normative Calculation Problem and the Limits of Command-and-Control,papers/5908662-Legal-Prices-The-Normative-Calculation-Problem-and.pdf,10.5281/zenodo.20612954
5955735,missing_from_author_page,The WEIRD Machine: Why Western Legal AI Fails in Non-WEIRD Jurisdictions,papers/5955735-THE-WEIRD-MACHINE-WHY-WESTERN.pdf,10.5281/zenodo.20612958
5960677,missing_from_author_page,Game Theory's Hidden Assumption: Intentionality Homogeneity and Corporate Liability,papers/5960677-GAME-THEORYS-HIDDEN-ASSUMPTION-Intentionality.pdf,10.5281/zenodo.18600364
5971914,missing_from_author_page,Mises's Fatal Flaw: Binding Deficits and the Memetic Evolution of Fiscal Constitutions,papers/5971914-Misess-Fatal-Flaw-Binding-Deficits-and-the-Memetic.pdf,10.5281/zenodo.20612960
5974555,missing_from_author_page,Formal Foundations of Multilevel Game Theory: Price Equation and Replicator Dynamics,papers/5974555-Formal-Foundations-of-Multilevel-Game-Theory.pdf,10.5281/zenodo.20612964
5991115,missing_from_author_page,Extending Aumann's Agreement Theorem to Heterogeneous Intentionality,papers/5991115-Extending-Aumanns-Agreement-Theorem-to.pdf,10.5281/zenodo.20612968
5991195,missing_from_author_page,The Generalized Intentionality Mismatch Theorem: When Law Assumes Moral Agency That Doesn't Exist,papers/5991195-The-Generalized-Intentionality-Mismatch-Theorem.pdf,10.5281/zenodo.18603169
5991355,missing_from_author_page,Environmental Law and the Myth of Corporate Citizenship,papers/5991355-Environmental-Law-and-the-Myth-of-Corporate.pdf,10.5281/zenodo.20612972
5995234,missing_from_author_page,The Normative Calculation Problem Under Heterogeneous Intentionality,papers/5995234-The-Normative-Calculation-Problem-Under.pdf,10.5281/zenodo.18603037
5995435,missing_from_author_page,Agency Problems Under Heterogeneous Intentionality,papers/5995435-Agency-Problems-Under-Heterogeneous.pdf,10.5281/zenodo.20612974
6000675,missing_from_author_page,Evolutionarily Stable Non-Compliance: A Game-Theoretic Analysis,papers/6000675-Evolutionarily-Stable-Non-Compliance-A-Game.pdf,10.5281/zenodo.18603260
6001434,missing_from_author_page,The Fatal Conceit of Consensus Networks: Why Decentralized Governance Fails,papers/6001434-The-Fatal-Conceit-of-Consensus-Networks-Why.pdf,10.5281/zenodo.20612976
